KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
539341,JÌloviötÏ,513,384,379,"19,26 %","0,00 %","0,00 %","5,80 %","0,00 %","4,48 %","3,69 %","1,58 %","0,52 %","0,52 %","0,00 %","0,26 %","16,88 %","0,26 %","0,52 %","12,13 %","19,26 %","0,00 %","0,00 %","4,48 %","0,00 %","0,26 %","0,52 %","0,26 %","8,17 %","1,05 %"
539350,JinoËany,1 282,863,855,"12,16 %","0,00 %","0,11 %","5,02 %","0,11 %","11,46 %","3,50 %","1,28 %","1,05 %","2,10 %","0,35 %","0,00 %","18,24 %","0,00 %","0,11 %","9,59 %","24,32 %","0,11 %","0,00 %","3,50 %","0,00 %","0,70 %","0,11 %","0,00 %","6,08 %","0,00 %"
539368,Kamenn˝ P¯Ìvoz,1 121,669,663,"12,21 %","0,15 %","0,15 %","5,27 %","0,00 %","7,69 %","6,48 %","1,20 %","1,35 %","1,05 %","0,00 %","0,30 %","14,93 %","0,15 %","0,30 %","7,23 %","30,46 %","0,15 %","0,00 %","1,05 %","0,00 %","0,60 %","0,00 %","0,60 %","8,59 %","0,00 %"
599727,KarlÌk,359,268,268,"23,88 %","0,37 %","0,00 %","3,35 %","0,00 %","5,22 %","5,22 %","3,73 %","1,11 %","0,74 %","0,00 %","0,37 %","11,94 %","0,00 %","0,00 %","14,17 %","19,02 %","0,00 %","0,00 %","1,49 %","0,00 %","1,86 %","0,37 %","0,37 %","6,71 %","0,00 %"
571211,KlÌnec,538,389,385,"20,00 %","0,00 %","0,00 %","4,41 %","0,25 %","5,71 %","4,41 %","1,03 %","1,55 %","3,89 %","0,51 %","0,51 %","12,98 %","0,25 %","0,00 %","11,16 %","21,55 %","0,00 %","0,00 %","3,11 %","0,00 %","0,77 %","0,25 %","0,00 %","7,27 %","0,25 %"
539384,KnÏûeves,453,337,334,"10,47 %","0,29 %","0,29 %","4,79 %","0,00 %","5,38 %","6,28 %","1,19 %","0,59 %","1,79 %","0,29 %","0,29 %","15,56 %","0,00 %","0,00 %","8,08 %","29,04 %","2,99 %","0,00 %","4,79 %","0,00 %","0,59 %","0,00 %","0,00 %","6,88 %","0,29 %"
539392,Koso¯,661,437,436,"13,76 %","0,45 %","0,00 %","6,65 %","0,00 %","5,04 %","5,96 %","2,98 %","0,22 %","1,60 %","0,00 %","0,91 %","15,82 %","0,00 %","0,00 %","13,30 %","22,70 %","0,22 %","0,00 %","2,52 %","0,00 %","0,45 %","0,45 %","0,00 %","6,88 %","0,00 %"
571261,KytÌn,440,338,334,"12,27 %","0,00 %","0,29 %","6,58 %","0,00 %","6,88 %","3,29 %","3,29 %","0,59 %","1,19 %","0,00 %","0,29 %","13,77 %","0,00 %","0,00 %","11,07 %","29,04 %","0,29 %","0,89 %","2,39 %","0,29 %","0,89 %","0,59 %","0,00 %","5,98 %","0,00 %"
539406,Lety,1 088,820,805,"18,50 %","0,37 %","0,00 %","3,35 %","0,00 %","8,44 %","2,48 %","1,98 %","0,24 %","1,61 %","0,00 %","0,37 %","17,51 %","0,12 %","0,12 %","14,90 %","18,26 %","0,00 %","0,12 %","4,72 %","0,00 %","1,36 %","0,00 %","0,00 %","5,46 %","0,00 %"
539414,LibËice nad Vltavou,2 587,1 583,1 577,"11,79 %","0,06 %","0,31 %","5,00 %","0,00 %","7,41 %","7,29 %","2,15 %","1,58 %","2,09 %","0,00 %","0,06 %","18,19 %","0,12 %","0,00 %","9,25 %","22,63 %","0,00 %","0,06 %","2,98 %","0,00 %","0,63 %","0,00 %","0,12 %","7,86 %","0,31 %"
539422,Libe¯,1 091,766,760,"18,28 %","0,13 %","0,00 %","3,42 %","0,00 %","11,05 %","3,28 %","1,05 %","0,92 %","1,18 %","0,13 %","0,26 %","15,78 %","0,13 %","0,13 %","7,76 %","26,05 %","0,00 %","0,00 %","1,44 %","0,00 %","0,26 %","0,00 %","0,13 %","8,15 %","0,39 %"
571326,Lichoceves,291,190,188,"10,10 %","0,00 %","0,00 %","4,78 %","0,00 %","7,97 %","5,85 %","3,19 %","1,06 %","0,53 %","0,53 %","0,00 %","13,82 %","0,00 %","0,00 %","9,04 %","26,59 %","0,00 %","0,00 %","3,72 %","0,00 %","1,06 %","0,00 %","0,00 %","11,17 %","0,53 %"
539457,LÌönice,542,383,382,"20,41 %","0,00 %","0,00 %","4,18 %","0,00 %","6,02 %","3,66 %","1,57 %","0,26 %","3,14 %","0,00 %","0,00 %","14,65 %","0,00 %","0,00 %","12,56 %","20,94 %","0,00 %","0,26 %","3,14 %","0,00 %","0,78 %","0,00 %","0,26 %","8,11 %","0,00 %"
539490,MÏchenice,621,452,451,"18,84 %","0,44 %","0,22 %","6,65 %","0,00 %","7,53 %","3,76 %","1,33 %","1,10 %","1,33 %","0,22 %","0,66 %","10,42 %","0,00 %","0,00 %","10,86 %","27,05 %","0,22 %","0,00 %","3,32 %","0,00 %","1,10 %","0,00 %","0,00 %","4,87 %","0,00 %"
540765,MnÌöek pod Brdy,4 299,2 927,2 904,"16,87 %","0,20 %","0,10 %","4,99 %","0,06 %","5,95 %","4,44 %","3,58 %","0,65 %","2,34 %","0,17 %","0,13 %","16,08 %","0,17 %","0,10 %","9,15 %","23,69 %","0,00 %","0,10 %","4,37 %","0,03 %","0,72 %","0,13 %","0,00 %","5,71 %","0,17 %"
